type,spec_version,id,created_by_ref,created,modified,name,description,external_references,object_marking_refs,x_mitre_attack_spec_version,x_mitre_domains,x_mitre_modified_by_ref,x_mitre_version,x_mitre_aliases,x_mitre_deprecated,x_mitre_contributors,x_mitre_platforms,is_family
tool,2.1,tool--0a68f1f1-da74-4d28-8d9a-696c082706cc,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2017-12-14T16:46:06.044Z,2023-07-27T15:28:27.482Z,certutil,[certutil](https://attack.mitre.org/software/S0160) is a command-line utility that can be used to obtain certificate authority information and configure Certificate Services. (Citation: TechNet Certutil),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0160', 'external_id': 'S0160'}, {'source_name': 'TechNet Certutil', 'description': 'Microsoft. (2012, November 14). Certutil. Retrieved July 3, 2017.', 'url': 'https://technet.microsoft.com/library/cc732443.aspx'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.1.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.4,"['certutil', 'certutil.exe']",False,,['Windows'],
tool,2.1,tool--066b057c-944e-4cfc-b654-e3dfba04b926,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2020-10-28T12:51:29.358Z,2024-09-25T20:33:37.892Z,BloodHound,[BloodHound](https://attack.mitre.org/software/S0521) is an Active Directory (AD) reconnaissance tool that can reveal hidden relationships and identify attack paths within an AD environment.(Citation: GitHub Bloodhound)(Citation: CrowdStrike BloodHound April 2018)(Citation: FoxIT Wocao December 2019),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0521', 'external_id': 'S0521'}, {'source_name': 'FoxIT Wocao December 2019', 'description': 'Dantzig, M. v., Schamper, E. (2019, December 19). Operation Wocao: Shining a light on one of China’s hidden hacking groups. Retrieved October 8, 2020.', 'url': 'https://www.fox-it.com/media/kadlze5c/201912_report_operation_wocao.pdf'}, {'source_name': 'CrowdStrike BloodHound April 2018', 'description': 'Red Team Labs. (2018, April 24). Hidden Administrative Accounts: BloodHound to the Rescue. Retrieved October 28, 2020.', 'url': 'https://www.crowdstrike.com/blog/hidden-administrative-accounts-bloodhound-to-the-rescue/'}, {'source_name': 'GitHub Bloodhound', 'description': 'Robbins, A., Vazarkar, R., and Schroeder, W. (2016, April 17). Bloodhound: Six Degrees of Domain Admin. Retrieved March 5, 2019.', 'url': 'https://github.com/BloodHoundAD/BloodHound'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.6,['BloodHound'],False,,['Windows'],
tool,2.1,tool--0630d1a7-54da-4a48-a6af-eb8a62b13c17,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2024-05-17T18:49:15.318Z,2024-10-28T19:00:14.732Z,NPPSPY,NPPSPY is an implementation of a theoretical mechanism first presented in 2004 for capturing credentials submitted to a Windows system via a rogue Network Provider API item. NPPSPY captures credentials following submission and writes them to a file on the victim system for follow-on exfiltration.(Citation: Huntress NPPSPY 2022)(Citation: Polak NPPSPY 2004),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S1131', 'external_id': 'S1131'}, {'source_name': 'Huntress NPPSPY 2022', 'description': 'Dray Agha. (2022, August 16). Cleartext Shenanigans: Gifting User Passwords to Adversaries With NPPSPY. Retrieved May 17, 2024.', 'url': 'https://www.huntress.com/blog/cleartext-shenanigans-gifting-user-passwords-to-adversaries-with-nppspy'}, {'source_name': 'Polak NPPSPY 2004', 'description': 'Sergey Polak. (2004, August). Capturing Windows Passwords using the Network Provider API. Retrieved May 17, 2024.', 'url': 'https://www.blackhat.com/presentations/win-usa-04/bh-win-04-polak/bh-win-04-polak2.pdf'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.0,['NPPSPY'],False,"['Dray Agha, @Purp1eW0lf, Huntress Labs']",['Windows'],
tool,2.1,tool--05fb53c8-e2ac-4e17-a0c9-a0825e1198bf,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2024-09-04T17:08:08.985Z,2024-09-06T18:11:55.619Z,Covenant,"[Covenant](https://attack.mitre.org/software/S1155) is a multi-platform command and control framework written in .NET. While designed for penetration testing and security research, the tool has also been used by threat actors such as [HAFNIUM](https://attack.mitre.org/groups/G0125) during operations. [Covenant](https://attack.mitre.org/software/S1155) functions through a central listener managing multiple deployed ""Grunts"" that communicate back to the controller.(Citation: Github Covenant)(Citation: Microsoft HAFNIUM March 2020)","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S1155', 'external_id': 'S1155'}, {'source_name': 'Github Covenant', 'description': 'cobbr. (2021, April 21). Covenant. Retrieved September 4, 2024.', 'url': 'https://github.com/cobbr/Covenant'}, {'source_name': 'Microsoft HAFNIUM March 2020', 'description': 'MSTIC. (2021, March 2). HAFNIUM targeting Exchange Servers with 0-day exploits. Retrieved March 3, 2021.', 'url': 'https://www.microsoft.com/security/blog/2021/03/02/hafnium-targeting-exchange-servers/'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.0,['Covenant'],False,['Subhash Thapa'],"['Linux', 'macOS', 'Windows']",
tool,2.1,tool--03c6e0ea-96d3-4b23-9afb-05055663cf4b,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2021-03-18T14:57:34.628Z,2022-04-25T14:00:00.188Z,RemoteUtilities,[RemoteUtilities](https://attack.mitre.org/software/S0592) is a legitimate remote administration tool that has been used by [MuddyWater](https://attack.mitre.org/groups/G0069) since at least 2021 for execution on target machines.(Citation: Trend Micro Muddy Water March 2021),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0592', 'external_id': 'S0592'}, {'source_name': 'Trend Micro Muddy Water March 2021', 'description': 'Peretz, A. and Theck, E. (2021, March 5). Earth Vetala – MuddyWater Continues to Target Organizations in the Middle East. Retrieved March 18, 2021.', 'url': 'https://www.trendmicro.com/en_us/research/21/c/earth-vetala---muddywater-continues-to-target-organizations-in-t.html'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],2.1.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.0,['RemoteUtilities'],,,['Windows'],
tool,2.1,tool--03342581-f790-4f03-ba41-e82e67392e23,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2017-05-31T21:32:31.601Z,2024-02-01T04:34:30.855Z,Net,"The [Net](https://attack.mitre.org/software/S0039) utility is a component of the Windows operating system. It is used in command-line operations for control of users, groups, services, and network connections. (Citation: Microsoft Net Utility)

[Net](https://attack.mitre.org/software/S0039) has a great deal of functionality, (Citation: Savill 1999) much of which is useful for an adversary, such as gathering system and network information for Discovery, moving laterally through [SMB/Windows Admin Shares](https://attack.mitre.org/techniques/T1021/002) using <code>net use</code> commands, and interacting with services. The net1.exe utility is executed for certain functionality when net.exe is run and can be used directly in commands such as <code>net1 user</code>.","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0039', 'external_id': 'S0039'}, {'source_name': 'Microsoft Net Utility', 'description': 'Microsoft. (2006, October 18). Net.exe Utility. Retrieved September 22, 2015.', 'url': 'https://msdn.microsoft.com/en-us/library/aa939914'}, {'source_name': 'Savill 1999', 'description': 'Savill, J. (1999, March 4). Net.exe reference. Retrieved September 22, 2015.', 'url': 'https://web.archive.org/web/20150511162820/http://windowsitpro.com/windows/netexe-reference'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2.6,"['Net', 'net.exe']",False,"['David Ferguson, CyberSponse']",['Windows'],
tool,2.1,tool--2c5281dd-b5fd-4531-8aea-c1bf8a0f8756,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2022-02-01T15:08:45.007Z,2024-10-14T22:11:30.271Z,AADInternals,"[AADInternals](https://attack.mitre.org/software/S0677) is a PowerShell-based framework for administering, enumerating, and exploiting Azure Active Directory. The tool is publicly available on GitHub.(Citation: AADInternals Github)(Citation: AADInternals Documentation)","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0677', 'external_id': 'S0677'}, {'source_name': 'AADInternals', 'description': 'Dr. Nestori Syynimaa. (2018, October 25). AADInternals. Retrieved February 1, 2022.', 'url': 'https://o365blog.com/aadinternals/'}, {'source_name': 'AADInternals Documentation', 'description': 'Dr. Nestori Syynimaa. (2018, October 25). AADInternals. Retrieved February 18, 2022.', 'url': 'https://o365blog.com/aadinternals'}, {'source_name': 'AADInternals Github', 'description': 'Dr. Nestori Syynimaa. (2021, December 13). AADInternals. Retrieved February 1, 2022.', 'url': 'https://github.com/Gerenios/AADInternals'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.1.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.2,['AADInternals'],False,,"['Windows', 'Office Suite', 'Identity Provider']",
tool,2.1,tool--b1595ddd-a783-482a-90e1-8afc8d48467e,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2021-02-24T21:28:44.175Z,2024-04-11T02:14:36.791Z,IronNetInjector,[IronNetInjector](https://attack.mitre.org/software/S0581) is a [Turla](https://attack.mitre.org/groups/G0010) toolchain that utilizes scripts from the open-source IronPython implementation of Python with a .NET injector to drop one or more payloads including [ComRAT](https://attack.mitre.org/software/S0126).(Citation: Unit 42 IronNetInjector February 2021 ),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0581', 'external_id': 'S0581'}, {'source_name': 'Unit 42 IronNetInjector February 2021 ', 'description': 'Reichel, D. (2021, February 19). IronNetInjector: Turla’s New Malware Loading Tool. Retrieved February 24, 2021.', 'url': 'https://unit42.paloaltonetworks.com/ironnetinjector/'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.1,['IronNetInjector'],False,,['Windows'],
tool,2.1,tool--c256da91-6dd5-40b2-beeb-ee3b22ab3d27,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2019-09-03T18:25:36.963Z,2023-09-28T03:45:36.045Z,esentutl,[esentutl](https://attack.mitre.org/software/S0404) is a command-line tool that provides database utilities for the Windows Extensible Storage Engine.(Citation: Microsoft Esentutl),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0404', 'external_id': 'S0404'}, {'source_name': 'Microsoft Esentutl', 'description': 'Microsoft. (2016, August 30). Esentutl. Retrieved September 3, 2019.', 'url': 'https://docs.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-R2-and-2012/hh875546(v=ws.11)'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.3,"['esentutl', 'esentutl.exe']",False,"['Edward Millington', 'Matthew Demaske, Adaptforward']",['Windows'],
tool,2.1,tool--c11ac61d-50f4-444f-85d8-6f006067f0de,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2017-05-31T21:33:04.151Z,2022-05-11T14:00:00.188Z,route,[route](https://attack.mitre.org/software/S0103) can be used to find or change information within the local system IP routing table. (Citation: TechNet Route),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0103', 'external_id': 'S0103'}, {'source_name': 'TechNet Route', 'description': 'Microsoft. (n.d.). Route. Retrieved April 17, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490991.aspx'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],2.1.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.1,,False,,,
tool,2.1,tool--bba595da-b73a-4354-aa6c-224d4de7cb4e,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2017-05-31T21:33:05.319Z,2022-10-13T20:24:11.194Z,cmd,"[cmd](https://attack.mitre.org/software/S0106) is the Windows command-line interpreter that can be used to interact with systems and execute other processes and utilities. (Citation: TechNet Cmd)

Cmd.exe contains native functionality to perform many operations to interact with the system, including listing files in a directory (e.g., <code>dir</code> (Citation: TechNet Dir)), deleting files (e.g., <code>del</code> (Citation: TechNet Del)), and copying files (e.g., <code>copy</code> (Citation: TechNet Copy)).","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0106', 'external_id': 'S0106'}, {'source_name': 'TechNet Cmd', 'description': 'Microsoft. (n.d.). Cmd. Retrieved April 18, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490880.aspx'}, {'source_name': 'TechNet Copy', 'description': 'Microsoft. (n.d.). Copy. Retrieved April 26, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490886.aspx'}, {'source_name': 'TechNet Del', 'description': 'Microsoft. (n.d.). Del. Retrieved April 22, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/cc771049.aspx'}, {'source_name': 'TechNet Dir', 'description': 'Microsoft. (n.d.). Dir. Retrieved April 18, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/cc755121.aspx'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],2.1.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.2,"['cmd', 'cmd.exe']",False,,['Windows'],
tool,2.1,tool--b77b563c-34bb-4fb8-86a3-3694338f7b47,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2017-05-31T21:33:01.483Z,2023-09-06T15:12:11.358Z,Ping,[Ping](https://attack.mitre.org/software/S0097) is an operating system utility commonly used to troubleshoot and verify network connections. (Citation: TechNet Ping),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0097', 'external_id': 'S0097'}, {'source_name': 'TechNet Ping', 'description': 'Microsoft. (n.d.). Ping. Retrieved April 8, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490968.aspx'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.1.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.4,['Ping'],False,,,
tool,2.1,tool--b76b2d94-60e4-4107-a903-4a3a7622fb3b,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2019-01-30T16:44:59.887Z,2024-04-04T03:49:27.035Z,LaZagne,"[LaZagne](https://attack.mitre.org/software/S0349) is a post-exploitation, open-source tool used to recover stored passwords on a system. It has modules for Windows, Linux, and OSX, but is mainly focused on Windows systems. [LaZagne](https://attack.mitre.org/software/S0349) is publicly available on GitHub.(Citation: GitHub LaZagne Dec 2018)","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0349', 'external_id': 'S0349'}, {'source_name': 'LaZagne', 'description': '(Citation: GitHub LaZange Dec 2018)'}, {'source_name': 'GitHub LaZagne Dec 2018', 'description': 'Zanni, A. (n.d.). The LaZagne Project !!!. Retrieved December 14, 2018.', 'url': 'https://github.com/AlessandroZ/LaZagne'}, {'source_name': 'GitHub LaZange Dec 2018', 'description': 'Zanni, A. (n.d.). The LaZagne Project !!!. Retrieved December 14, 2018.', 'url': 'https://github.com/AlessandroZ/LaZagne'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.6,['LaZagne'],False,,"['Linux', 'macOS', 'Windows']",
